Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
104683,8/13/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Trang sức sự kiện,Thắt lưng đính đá,200000,200000
104697,8/13/2023,Trực tiếp - Cửa hàng,0,complete,1,89 Láng Hạ,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
104740,8/13/2023,Hotline,0,complete,1,Kho Online,complete,,Tự vận chuyển,Chị,,Quần,Quần tây,420000,420000
104760,8/13/2023,Hotline,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Tham khảo so sánh giá,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
104763,8/13/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần tây,420000,420000
104770,8/13/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Áo croptop sơ mi,280000,280000
101690,8/13/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
101759,8/13/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Váy,Váy liền,430000,430000
101760,8/13/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Quần,Quần tây,420000,420000
101813,8/13/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
101815,8/13/2023,Facebook,0,confirmed,1,37 Nguyễn Văn Huyên,confirmed,,Tự vận chuyển,Chị,,Daily use,Sơ mi dài,300000,300000
101834,8/13/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Áo (mùa hè),Áo phông,300000,300000
101840,8/13/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Váy,Váy liền,430000,430000
101841,8/13/2023,Facebook,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
101849,8/13/2023,Trực tiếp - Cửa hàng,105000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Áo (mùa hè),Áo phông,300000,300000
101850,8/13/2023,Trực tiếp - Cửa hàng,180000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Váy,Chân váy,310000,310000
101852,8/13/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Áo (mùa hè),Áo phông,300000,300000
101868,8/13/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn trùng,,Chị,,Daily use,Sơ mi dài,300000,300000
101875,8/13/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Áo (mùa hè),Áo phông,300000,300000
101877,8/13/2023,Hotline,0,prepared,1,89 Láng Hạ,prepared,,Đặt trước,Chị,,Quần,Quần jeans,370000,370000
101903,8/13/2023,Facebook,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Khách suy nghĩ thêm,Đặt trước,Chị,,Váy,Váy liền,430000,430000
101922,8/13/2023,Trực tiếp - Cửa hàng,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Khách không đến,Mua tại quầy,Chị,,Quần,Quần jeans,370000,370000
101936,8/13/2023,Trực tiếp - Cửa hàng,0,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Daily use,Sơ mi dài,300000,300000
