Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
104178,7/28/2023,Hotline,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Tham khảo so sánh giá,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
104185,7/28/2023,Facebook,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Khách suy nghĩ thêm,Đặt trước,Chị,,Quần,Quần tây,420000,420000
104213,7/28/2023,Instagram,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Đơn trùng,,Chị,,Daily use,Áo croptop sơ mi,280000,280000
103317,7/29/2023,Instagram,0,cancel,1,Kho Online,cancel,Tham khảo so sánh giá,,Chị,,Quần,Quần tây,420000,420000
103319,7/29/2023,Instagram,0,cancel,1,Kho Online,cancel,Đơn trùng,,Chị,,Daily use,Sơ mi dài,300000,300000
103332,7/29/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Quần,Quần tây,420000,420000
103350,7/29/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Quần,Quần tây,420000,420000
103396,7/29/2023,Trực tiếp - Cửa hàng,0,cancel,1,37 Nguyễn Văn Huyên,cancel,Tham khảo so sánh giá,Đặt trước,Chị,,Quần,Quần tây,420000,420000
103398,7/29/2023,Trực tiếp - Cửa hàng,80000,complete,1,37 Nguyễn Văn Huyên,complete,,Mua tại quầy,Chị,,Quần,Quần tây,420000,420000
103400,7/29/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
103406,7/29/2023,Instagram,0,cancel,1,Kho Online,cancel,Khách suy nghĩ thêm,,Chị,,Daily use,Sơ mi dài,300000,300000
103411,7/29/2023,Hotline,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Trang sức sự kiện,Thắt lưng đính đá,200000,200000
103440,7/29/2023,Facebook,0,complete,1,Kho Online,complete,,Đặt trước,Chị,,Daily use,Sơ mi dài,300000,300000
